Granada,Las Palmas,Levante,Alaves,Eibar,Albacete,Andorra,Oviedo,Cartagena,Tenerife,Burgos,Santander,Zaragoza,Leganes,Mirandes,Huesca,Villarreal B,Sp Gijon,Malaga,Ponferradina,Ibiza,Lugo
3,1,1,3,3,3,3,0,0,0,3,0,1,0,1,1,3,1,0,3,0,0
6,4,2,6,4,4,3,3,3,1,4,0,2,0,1,1,4,4,0,6,0,1
9,7,5,7,7,7,3,6,6,1,5,0,2,0,1,1,4,5,3,6,1,4
9,8,6,8,7,10,6,7,6,4,8,0,2,3,1,4,7,8,3,6,1,7
9,11,9,11,10,10,7,8,9,4,9,3,5,3,2,7,7,8,3,6,4,7
12,12,9,14,10,10,10,8,12,7,10,4,8,4,2,7,10,8,3,9,7,7
12,15,10,15,13,11,11,9,13,8,11,4,8,4,5,10,11,11,4,10,7,8
13,16,10,18,14,14,14,9,16,9,12,5,9,4,6,11,12,12,5,10,10,8
14,17,10,18,15,15,15,10,16,10,15,8,10,7,7,12,12,15,6,11,11,9
17,20,13,19,18,16,15,10,17,11,18,11,10,10,7,15,13,15,6,12,11,9
17,23,16,22,18,19,15,10,20,14,21,12,13,10,7,16,13,18,9,12,11,9
20,26,19,23,19,20,15,13,20,14,21,13,13,13,8,17,16,19,9,13,11,12
21,26,22,26,22,21,18,13,21,14,24,14,16,14,9,20,17,19,9,13,11,13
22,26,23,27,25,22,21,13,24,14,27,15,16,17,12,20,20,20,9,16,11,13
22,27,26,30,26,22,21,16,25,17,27,18,16,20,13,23,20,21,10,16,12,14
25,28,27,31,27,22,24,17,25,20,30,18,17,21,16,23,23,22,11,17,12,14
25,31,28,34,27,25,27,20,28,20,31,18,18,24,16,24,23,23,14,17,12,15
28,34,31,34,30,25,27,23,31,20,34,18,21,25,19,24,24,23,14,17,12,18
29,35,32,34,33,26,27,24,31,23,34,18,22,26,20,27,27,26,15,18,15,18
32,35,35,34,36,29,28,24,32,24,34,18,25,27,23,27,28,27,16,21,16,18
32,38,36,34,37,32,29,27,32,25,35,21,25,30,26,28,28,27,19,21,16,21
35,39,37,37,40,33,32,27,32,26,35,22,26,33,27,29,28,28,20,24,16,21
35,42,40,37,43,36,32,30,33,27,38,25,29,33,30,30,28,28,20,25,16,21
38,45,41,40,46,39,32,31,33,30,39,25,29,34,30,31,31,31,21,25,16,21
41,48,44,43,47,42,32,31,34,31,39,26,30,35,30,31,34,32,22,26,17,21
44,49,47,46,47,42,32,34,34,34,40,27,33,38,30,34,34,32,22,27,18,22
47,52,50,49,47,45,32,34,37,34,43,30,33,38,33,35,34,33,22,28,19,22
48,53,51,52,50,46,35,34,40,37,44,30,33,39,33,36,37,33,25,29,19,22
51,56,54,53,53,47,35,35,41,37,45,33,34,40,34,37,37,36,25,29,20,22
54,57,54,53,56,50,36,35,44,37,45,36,35,40,37,40,40,36,25,29,23,23
55,58,55,54,59,51,39,36,44,38,45,37,38,40,40,41,41,36,26,30,24,24
58,58,56,54,62,51,40,39,44,41,46,38,39,40,40,42,44,37,27,33,25,25
61,59,59,57,63,52,41,39,47,41,46,38,40,40,41,43,45,38,30,34,28,25
61,62,60,60,64,52,44,40,50,42,49,38,41,40,42,43,46,41,30,35,29,26
61,62,61,61,65,52,45,43,53,43,49,41,44,43,42,46,46,44,33,35,29,27
64,62,61,62,65,55,48,46,53,46,50,41,47,46,45,46,46,45,36,36,29,27
64,63,62,65,66,58,51,49,56,47,50,44,48,46,48,47,46,45,39,36,29,27
65,64,65,65,67,59,51,52,57,50,53,47,49,46,51,48,46,48,40,36,29,27
66,67,65,66,67,62,52,55,58,53,54,48,49,49,52,48,49,48,40,39,29,28
69,68,66,67,67,63,55,56,58,53,54,51,52,52,52,49,50,49,43,40,30,28
72,71,69,70,68,64,56,59,58,56,54,51,52,53,52,52,50,50,43,41,33,28
75,72,72,71,71,67,59,59,58,57,54,54,53,53,52,52,50,50,44,44,34,31
